RIL,MeanShortStamen#
2,1.333333333
3,0.888888889
6,0.888888889
7,1.111111111
8,0.5
9,1.111111111
10,1.75
11,1.2
13,1.444444444
14,0.933333333
16,1.466666667
18,2
19,1.722222222
20,1.736111111
21,1.6
23,1.777777778
24,1.777777778
25,1.666666667
26,1.2
28,2
29,1.75
30,1.666666667
31,1.611111111
32,1.611111111
34,1.666666667
35,0.833333333
36,1.933333333
38,1.5
39,1.733333333
40,2
41,1.694444444
42,1.388888889
43,1.611111111
44,1.933333333
46,2
47,1.555555556
48,1.388888889
50,1.333333333
51,1.833333333
52,1.777777778
53,1.888888889
54,1.944444444
57,1.333333333
58,1.861111111
59,1.916666667
60,-4
61,1.866666667
62,1.8
64,1.722222222
65,1.666666667
66,1.666666667
67,1.333333333
68,1.866666667
69,1.933333333
70,2
72,1.933333333
73,1.611111111
74,1.2
75,1.388888889
77,1.333333333
78,1.466666667
81,1.722222222
82,2
84,1.916666667
85,1.777777778
86,1.944444444
87,1.833333333
88,1.444444444
89,1.666666667
90,2
91,1.933333333
92,1.055555556
93,2
96,1.444444444
99,1.777777778
100,1.666666667
101,1.933333333
102,2
103,1.666666667
104,1.833333333
105,1.944444444
106,1.333333333
107,1.916666667
108,1.888888889
109,2
110,2
111,1.777777778
114,1.4
115,1.833333333
116,1.8
117,1.8
120,1.733333333
121,2
123,1.916666667
124,2
125,1.8
126,2
127,1.866666667
128,2
129,1.944444444
130,1.722222222
132,2
133,1.75
134,1.833333333
135,1.888888889
136,1.866666667
137,1.833333333
138,1.277777778
139,0.933333333
140,1.5
141,1.2
142,1.777777778
143,1.466666667
144,2
145,2
146,1.722222222
147,1.666666667
148,1.866666667
149,1.8
150,2
151,1.888888889
152,1.866666667
154,2
155,2
157,1.833333333
158,1.416666667
159,1.166666667
160,1.777777778
162,1.666666667
163,2
165,1.416666667
167,1.666666667
168,2
169,1.533333333
170,1.333333333
171,1.305555556
173,1.952380952
174,1
175,1.555555556
176,1.5
177,1.166666667
178,1.533333333
179,1.933333333
180,1.555555556
181,1.055555556
182,2
184,0.666666667
185,1.5
186,2
187,1.444444444
188,1.833333333
189,1.944444444
190,2
191,2
192,1.6
194,1.944444444
195,1.8
196,1.96
197,0.777777778
198,2
199,2
200,1.854166667
201,1.866666667
202,2
203.6,-4
205,1.416666667
206,1.833333333
207,2
208,2
209,2
210,1.666666667
212,1.833333333
213,1.055555556
214.6,-4
216,2
218,1.555555556
219,2
220,1
222,-4
223,1.888888889
224,1.722222222
225,1.666666667
226,1.833333333
227,2
228,1.722222222
229,1.555555556
230,2
231,2
232,1.888888889
234,1.555555556
236,2
237,2
239,1.111111111
240,1.533333333
241,1.611111111
242,1.888888889
243,1.833333333
245,1.8
246,1.866666667
247,2
249,2
251,1.833333333
252,2
253,1.888888889
254,1.733333333
255,1.476190476
256,0.805555556
258,-4
259,1.944444444
260,2
262,2
263,2
264,1.8
266,1.416666667
267,2
268,1.285714286
270,1.916666667
272,1.444444444
273,1.888888889
275,1.777777778
276,1.916666667
277,1.111111111
279,1.111111111
281,1.916666667
282,2
283,1.222222222
284,1.733333333
285,2
289,1.8
291,2
295,1.944444444
297,1.777777778
298,-4
299,1.866666667
301,1.933333333
303,2
304,1.777777778
305,2
306,1.666666667
308,1.933333333
309,1.833333333
310,1.916666667
311,1.833333333
312,1.866666667
313,1.933333333
314,2
316,1.833333333
317,1.916666667
323,1.854166667
324,1.916666667
326,2
327,1.444444444
328,1.166666667
330,1.433333333
331,2
332,0.916666667
333,1.5
334,1.866666667
335,2
336,1.933333333
337,1.666666667
338,2
339,1.833333333
340,2
341,2
342,2
343,-4
344,2
345,2
347,1.722222222
348,2
349,2
351,2
352,2
353,2
355,1.866666667
356,2
357,2
358,1.916666667
359,1.277777778
360,1.888888889
361,-4
362,1.888888889
364,1.8
366,1.666666667
368,1.833333333
369,1.266666667
370,1.888888889
371,1.944444444
379,2
380,1.944444444
383,2
384,2
385,2
386,1.866666667
388,2
390,2
391,2
392,1.8
393,0.866666667
394,2
395,1.916666667
396,1.833333333
397,1.777777778
398,2
399,2
400,2
401,1.888888889
402,1.888888889
403,1.916666667
405,1.888888889
407,1.733333333
408,2
409,2
410,1.833333333
411,1.833333333
412,1.416666667
413,1.833333333
414,1.777777778
415,2
416,0.888888889
417,1.933333333
418,1.722222222
420,1.854166667
423,1.933333333
424,2
426,1.166666667
427,1.666666667
428,1.8
429,1
431,1.6
432,1.888888889
434,1.5
435,1.555555556
436,1.222222222
437,0.583333333
438,1.833333333
439,1.733333333
440,1.066666667
442,1.6
443,1.8
444,1.733333333
445,2
446,1.444444444
447,1.944444444
448,1.533333333
449,1.277777778
450,2
451,-4
452,1.883333333
454,1.266666667
455,1.8
456,1.944444444
457,1.944444444
458,1.6
459,2
460,1.733333333
461,1.25
462,0.666666667
463,2
464,2
465,1.933333333
466,1.888888889
468,1.944444444
469,2
470,-4
471,-4
472,1.333333333
473,1.5
474,1.866666667
475,1.611111111
476,2
477,1.033333333
478,2
479,1.533333333
481,1.722222222
484,1.319444444
485,1.888888889
486,2
488,-4
489,0.833333333
490,1.666666667
492,1.416666667
494,1.916666667
495,1.722222222
496,1.733333333
499,0.944444444
501,-4
503,1.722222222
504,1.791666667
506,1.833333333
507,1.722222222
508,1.866666667
509,-4
510,1.4
512,1.722222222
513,2
514,1.666666667
515,1.866666667
516,2
518,-4
519,1.777777778
520,1.833333333
521,0.777777778
522,2
524,1.933333333
525,2
526,-4
527,2
528,1.571428571
529,1.666666667
530,2
531,1.583333333
532,2
533,2
534,1.166666667
535,1.333333333
536,1.333333333
539,1.916666667
540,2
541,2
542,1.466666667
543,1.145833333
544,1.111111111
545,0.8
546,-4
547,1.666666667
548,1.75
549,-4
550,2
552,1.666666667
553,1.833333333
554,1.944444444
555,2
557,1.555555556
558,1.777777778
559,1.944444444
560,2
561,-4
562,1.6
563,2
564,1.5
565,2
567,1.583333333
569,1.8
571,2
572,1.75
573,1.833333333
574,1.888888889
575,1.533333333
576,1.333333333
578,1.916666667
579,-4
581,1.666666667
582,1.444444444
583,0.916666667
585,2
586,2
587,1.777777778
588,-4
590,1.611111111
591,2
593,2
594,1.611111111
595,1.583333333
596,1.777777778
597,2
600,1.666666667
601,1.888888889
602,1.566666667
603,1.916666667
604,2
605,2
606,1.916666667
607,0.6
608,1.333333333
609,1.866666667
610,1.666666667
611,1.833333333
612,2
613,-4
614,1.833333333
616,1.6
617,1.916666667
618,1.8
619,1.888888889
620,1.277777778
621,-4
623,2
624,1.777777778
625,1.833333333
627,1.866666667
628,1.833333333
629,2
631,1.888888889
632,1.916666667
633,2
635,1.8
638,1.888888889
640,2
641,1.944444444
642,1.388888889
643,1.666666667
644,2
645,1.5
646,2
647,1.733333333
648,2
649,1.4
650,0.666666667
651,-4
653,1.714285714
654,1.833333333
655,1.533333333
656,2
657,1.777777778
658,1.933333333
659,1.25
660,2
661,1.916666667
662,-4
663,1.888888889
664,1.933333333
666,1.388888889
667,1.6
670,2
672,2
673,1.888888889
676,2
677,1.888888889
680,1.111111111
681,2
683,2
684,2
687,1.933333333
688,1.833333333
689,1.722222222
691,1.833333333
694,1.888888889
695,1.833333333
696,1.666666667
697,1.888888889
698,1.888888889
700,1.866666667
