QN_no6s_stamen_number,QN_mean_stamen_number,no6s_stamen_number,mean_stamen_number,id,QTL1,QTL3,QTL4,QTL5
-0.958860818,-1.145690884,5.333333333,5.333333333,2,b,b,a,b
-1.766454744,-1.898028653,4.888888889,4.888888889,3,a,a,a,a
-1.766454744,-1.898028653,4.888888889,4.888888889,6,a,a,a,a
-1.371872628,-1.526348577,5.111111111,5.111111111,7,a,a,a,a
-2.797207657,-2.890511561,4.5,4.5,8,a,a,a,a
-1.371872628,-1.526348577,5.111111111,5.111111111,9,a,a,a,a
0.051706088,-0.283331051,5.75,5.75,10,,b,a,a
-1.201953761,-1.368505677,5.2,5.2,11,a,a,a,a
-0.728193988,-0.938325959,5.444444444,5.444444444,13,b,a,a,a
-1.642359785,-1.780464342,4.933333333,4.933333333,14,a,a,a,a
-0.678550556,-0.894314122,5.466666667,5.466666667,16,a,b,a,a
,1.136447727,,6,18,a,a,a,a
-0.084083943,-0.390517596,5.722222222,5.722222222,19,a,b,a,a
0.03230753,-0.298417394,5.736111111,5.736111111,20,b,b,b,a
-0.408386844,-0.659436695,5.6,5.6,21,b,b,a,a
0.129569271,-0.223589258,5.777777778,5.777777778,23,a,b,a,a
0.129569271,-0.223589258,5.777777778,5.777777778,24,b,b,a,a
-0.234711077,-0.513370313,5.666666667,5.666666667,25,b,b,a,a
-1.201953761,-1.368505677,5.2,5.2,26,a,a,a,a
,1.136447727,,6,28,a,a,b,a
0.051706088,-0.283331051,5.75,5.75,29,b,b,a,a
-0.234711077,-0.513370313,5.666666667,5.666666667,30,b,b,a,a
-0.352815445,-0.612231482,5.611111111,5.611111111,31,a,b,a,a
-0.352815445,-0.612231482,5.611111111,5.611111111,32,a,a,a,a
-0.234711077,-0.513370313,5.666666667,5.666666667,34,b,b,a,a
-1.886123231,-2.011897251,4.833333333,4.833333333,35,a,b,a,a
1.450542787,0.49966967,5.933333333,5.933333333,36,a,b,b,b
-0.618747862,-0.841621234,5.5,5.5,38,b,a,a,b
-0.003230197,-0.326255876,5.733333333,5.733333333,39,a,b,a,a
,1.136447727,,6,40,a,b,a,b
-0.142610331,-0.437790082,5.694444444,5.694444444,41,b,b,a,a
-0.875240063,-1.070008718,5.388888889,5.388888889,42,a,b,a,a
-0.352815445,-0.612231482,5.611111111,5.611111111,43,b,b,a,a
1.450542787,0.49966967,5.933333333,5.933333333,44,,b,a,a
,1.136447727,,6,46,b,b,b,b
-0.501556704,-0.739480322,5.555555556,5.555555556,47,a,a,a,a
-0.875240063,-1.070008718,5.388888889,5.388888889,48,b,a,a,a
-0.958860818,-1.145690884,5.333333333,5.333333333,50,a,b,a,a
0.433091285,-0.004820458,5.833333333,5.833333333,51,a,b,a,b
0.129569271,-0.223589258,5.777777778,5.777777778,52,b,b,a,a
0.884755232,0.268308923,5.888888889,5.888888889,53,a,a,b,b
1.905608404,0.597760126,5.944444444,5.944444444,54,b,b,b,a
-0.958860818,-1.145690884,5.333333333,5.333333333,57,a,a,a,a
0.587748627,0.096558615,5.861111111,5.861111111,58,a,a,a,b
1.156632152,0.395725296,5.916666667,5.916666667,59,b,b,b,b
,,,,60,b,a,b,a
0.666401288,0.145120941,5.866666667,5.866666667,61,a,b,a,b
0.254681544,-0.130521499,5.8,5.8,62,b,b,a,b
-0.084083943,-0.390517596,5.722222222,5.722222222,64,b,b,b,a
-0.234711077,-0.513370313,5.666666667,5.666666667,65,b,b,a,a
-0.234711077,-0.513370313,5.666666667,5.666666667,66,b,a,a,a
-0.958860818,-1.145690884,5.333333333,5.333333333,67,a,b,a,a
0.666401288,0.145120941,5.866666667,5.866666667,68,a,b,b,b
1.450542787,0.49966967,5.933333333,5.933333333,69,a,b,a,b
,1.136447727,,6,70,a,b,a,b
1.450542787,0.49966967,5.933333333,5.933333333,72,a,a,b,b
-0.352815445,-0.612231482,5.611111111,5.611111111,73,a,a,b,a
-1.201953761,-1.368505677,5.2,5.2,74,,b,a,a
-0.875240063,-1.070008718,5.388888889,5.388888889,75,a,b,a,a
-0.958860818,-1.145690884,5.333333333,5.333333333,77,b,b,a,b
-0.678550556,-0.894314122,5.466666667,5.466666667,78,a,b,a,a
-0.084083943,-0.390517596,5.722222222,5.722222222,81,a,b,a,b
,1.136447727,,6,82,a,a,,b
1.156632152,0.395725296,5.916666667,5.916666667,84,b,a,b,b
0.129569271,-0.223589258,5.777777778,5.777777778,85,b,b,a,a
1.905608404,0.597760126,5.944444444,5.944444444,86,a,b,b,a
0.433091285,-0.004820458,5.833333333,5.833333333,87,a,b,a,b
-0.728193988,-0.938325959,5.444444444,5.444444444,88,a,a,a,a
-0.234711077,-0.513370313,5.666666667,5.666666667,89,,a,b,b
,1.136447727,,6,90,b,b,b,b
1.450542787,0.49966967,5.933333333,5.933333333,91,b,a,b,b
-1.47886927,-1.626486731,5.055555556,5.055555556,92,a,a,a,a
,1.136447727,,6,93,a,b,a,b
-0.728193988,-0.938325959,5.444444444,5.444444444,96,b,b,a,a
0.129569271,-0.223589258,5.777777778,5.777777778,99,b,b,a,a
-0.234711077,-0.513370313,5.666666667,5.666666667,100,a,b,a,a
1.450542787,0.49966967,5.933333333,5.933333333,101,a,b,b,b
,1.136447727,,6,102,a,b,a,b
-0.234711077,-0.513370313,5.666666667,5.666666667,103,b,a,b,a
0.433091285,-0.004820458,5.833333333,5.833333333,104,b,b,b,b
1.905608404,0.597760126,5.944444444,5.944444444,105,b,a,b,b
-0.958860818,-1.145690884,5.333333333,5.333333333,106,b,a,a,a
1.156632152,0.395725296,5.916666667,5.916666667,107,a,b,b,b
0.884755232,0.268308923,5.888888889,5.888888889,108,b,a,a,a
,1.136447727,,6,109,a,a,a,b
,1.136447727,,6,110,b,b,a,a
0.129569271,-0.223589258,5.777777778,5.777777778,111,a,b,b,a
-0.837944534,-1.036433389,5.4,5.4,114,b,a,b,a
0.433091285,-0.004820458,5.833333333,5.833333333,115,a,b,b,b
0.254681544,-0.130521499,5.8,5.8,116,a,b,b,b
0.254681544,-0.130521499,5.8,5.8,117,a,b,b,a
-0.003230197,-0.326255876,5.733333333,5.733333333,120,a,a,b,b
,1.136447727,,6,121,a,b,a,b
1.156632152,0.395725296,5.916666667,5.916666667,123,a,a,b,b
,1.136447727,,6,124,b,b,a,b
0.254681544,-0.130521499,5.8,5.8,125,b,b,a,a
,1.136447727,,6,126,a,b,a,b
0.666401288,0.145120941,5.866666667,5.866666667,127,b,b,a,a
,1.136447727,,6,128,b,b,a,a
1.905608404,0.597760126,5.944444444,5.944444444,129,b,a,a,b
-0.084083943,-0.390517596,5.722222222,5.722222222,130,b,b,a,a
,1.136447727,,6,132,a,b,a,b
0.051706088,-0.283331051,5.75,5.75,133,b,a,a,a
0.433091285,-0.004820458,5.833333333,5.833333333,134,a,a,a,
0.884755232,0.268308923,5.888888889,5.888888889,135,b,a,b,b
0.666401288,0.145120941,5.866666667,5.866666667,136,a,a,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,137,a,b,a,a
-1.078237378,-1.254623731,5.277777778,5.277777778,138,a,b,a,a
-1.642359785,-1.780464342,4.933333333,4.933333333,139,b,a,a,a
-0.618747862,-0.841621234,5.5,5.5,140,a,a,a,a
-1.201953761,-1.368505677,5.2,5.2,141,b,a,a,a
0.129569271,-0.223589258,5.777777778,5.777777778,142,a,a,b,b
-0.678550556,-0.894314122,5.466666667,5.466666667,143,b,a,,a
,1.136447727,,6,144,b,b,b,b
,1.136447727,,6,145,b,b,b,b
-0.084083943,-0.390517596,5.722222222,5.722222222,146,a,a,b,b
-0.234711077,-0.513370313,5.666666667,5.666666667,147,b,b,a,a
0.666401288,0.145120941,5.866666667,5.866666667,148,a,b,b,b
0.254681544,-0.130521499,5.8,5.8,149,a,b,b,b
,1.136447727,,6,150,a,,a,b
0.884755232,0.268308923,5.888888889,5.888888889,151,a,b,b,b
0.666401288,0.145120941,5.866666667,5.866666667,152,b,a,a,b
,1.136447727,,6,154,a,b,b,b
,1.136447727,,6,155,b,b,a,a
0.433091285,-0.004820458,5.833333333,5.833333333,157,a,b,a,a
-0.797332876,-1.000005818,5.416666667,5.416666667,158,a,a,b,b
