ShortStamen,Pop,Line,Rep
2,IT,51,37
2,IT,51,37
2,IT,51,37
2,IT,17,28
2,IT,17,28
2,IT,17,28
2,IT,17,3
2,IT,17,3
2,IT,17,3
1,IT,1,9
2,IT,1,9
2,IT,1,9
1,IT,32,6
1,IT,32,6
2,IT,32,6
2,IT,51,13
2,IT,51,13
2,IT,51,13
2,IT,1,26
2,IT,1,26
2,IT,1,26
2,IT,18,2
2,IT,18,2
2,IT,18,2
2,IT,51,6
2,IT,51,6
2,IT,51,6
2,IT,41,7
2,IT,41,7
2,IT,41,7
2,IT,32,25
2,IT,32,25
2,IT,32,25
0,IT,32,12
1,IT,32,12
2,IT,32,12
2,IT,18,4
2,IT,18,4
2,IT,18,4
2,IT,21,33
2,IT,21,33
2,IT,21,33
2,IT,17,10
2,IT,17,10
2,IT,17,10
1,IT,1,12
1,IT,1,12
2,IT,1,12
0,IT,32,36
2,IT,32,36
2,IT,32,36
1,IT,41,8
2,IT,41,8
2,IT,41,8
1,IT,18,11
2,IT,18,11
2,IT,18,11
1,IT,17,19
1,IT,17,19
2,IT,17,19
1,IT,1,11
2,IT,1,11
2,IT,1,11
2,IT,32,19
2,IT,32,19
2,IT,32,19
1,IT,51,24
2,IT,51,24
2,IT,51,24
2,IT,17,13
2,IT,17,13
2,IT,17,13
1,IT,41,20
2,IT,41,20
2,IT,41,20
2,IT,18,9
2,IT,18,9
2,IT,18,9
2,IT,6,31
2,IT,6,31
2,IT,6,31
1,IT,41,26
2,IT,41,26
2,IT,41,26
0,IT,41,22
1,IT,41,22
2,IT,41,22
2,IT,41,33
2,IT,41,33
2,IT,41,33
0,IT,17,38
2,IT,17,38
2,IT,17,38
1,IT,32,23
1,IT,32,23
2,IT,32,23
2,IT,35,34
2,IT,35,34
2,IT,35,34
0,IT,1,19
0,IT,1,19
1,IT,1,19
1,IT,32,8
1,IT,32,8
2,IT,32,8
0,IT,35,27
1,IT,35,27
2,IT,35,27
1,IT,1,6
2,IT,1,6
2,IT,1,6
1,IT,35,38
2,IT,35,38
2,IT,35,38
2,IT,51,4
2,IT,51,4
2,IT,51,4
2,IT,17,6
1,IT,17,6
2,IT,17,6
1,IT,35,36
1,IT,35,36
2,IT,35,36
2,IT,51,21
2,IT,51,21
2,IT,51,21
1,IT,32,3
1,IT,32,3
1,IT,32,3
0,IT,17,36
0,IT,17,36
0,IT,17,36
0,IT,18,36
0,IT,18,36
1,IT,18,36
1,IT,35,31
1,IT,35,31
1,IT,35,31
1,IT,32,38
1,IT,32,38
2,IT,32,38
0,IT,41,26
1,IT,41,26
1,IT,41,26
0,IT,1,14
1,IT,1,14
0,IT,1,14
0,IT,1,40
1,IT,1,40
1,IT,1,40
0,IT,35,40
0,IT,35,40
0,IT,35,40
0,IT,51,27
0,IT,51,27
0,IT,51,27
1,IT,51,18
2,IT,51,18
0,IT,51,18
2,IT,1,34
2,IT,1,34
2,IT,1,34
0,IT,17,35
1,IT,17,35
2,IT,17,35
2,IT,35,30
1,IT,35,30
2,IT,35,30
0,IT,17,7
0,IT,17,7
1,IT,17,7
1,IT,32,37
1,IT,32,37
0,IT,32,37
0,IT,41,6
0,IT,41,6
1,IT,41,6
1,IT,6,20
0,IT,6,20
1,IT,6,20
1,IT,51,7
0,IT,51,7
1,IT,51,7
0,IT,18,10
0,IT,18,10
0,IT,18,10
0,IT,17,15
0,IT,17,15
1,IT,17,15
1,IT,32,16
1,IT,32,16
1,IT,32,16
1,IT,32,39
2,IT,32,39
2,IT,32,39
0,IT,6,40
0,IT,6,40
1,IT,6,40
0,IT,8,22
0,IT,8,22
0,IT,8,22
1,IT,51,2
1,IT,51,2
1,IT,51,2
0,IT,17,11
0,IT,17,11
1,IT,17,11
1,IT,35,28
0,IT,35,28
1,IT,35,28
0,IT,51,35
0,IT,51,35
0,IT,51,35
1,IT,8,26
0,IT,8,26
0,IT,8,26
0,IT,32,32
1,IT,32,32
1,IT,32,32
1,IT,6,12
0,IT,6,12
0,IT,6,12
1,IT,35,17
1,IT,35,17
1,IT,35,17
0,IT,35,37
0,IT,35,37
0,IT,35,37
0,IT,21,28
1,IT,21,28
1,IT,21,28
0,IT,17,24
1,IT,17,24
1,IT,17,24
2,IT,51,32
2,IT,51,32
2,IT,51,32
0,IT,51,5
0,IT,51,5
1,IT,51,5
0,IT,8,29
0,IT,8,29
1,IT,8,29
1,IT,41,2
1,IT,41,2
2,IT,41,2
1,IT,35,5
2,IT,35,5
0,IT,35,5
1,IT,51,40
2,IT,51,40
2,IT,51,40
1,IT,17,23
1,IT,17,23
2,IT,17,23
0,IT,41,9
0,IT,41,9
1,IT,41,9
0,IT,1,3
0,IT,1,3
2,IT,1,3
0,IT,8,20
0,IT,8,20
0,IT,8,20
1,IT,8,37
2,IT,8,37
2,IT,8,37
0,IT,18,3
0,IT,18,3
0,IT,18,3
1,IT,17,12
1,IT,17,12
2,IT,17,12
0,IT,6,28
1,IT,6,28
1,IT,6,28
0,IT,18,25
0,IT,18,25
2,IT,18,25
0,IT,41,32
1,IT,41,32
1,IT,41,32
1,IT,41,13
0,IT,41,13
0,IT,41,13
0,IT,8,15
1,IT,8,15
0,IT,8,15
1,IT,41,21
1,IT,41,21
2,IT,41,21
0,IT,18,35
0,IT,18,35
0,IT,18,35
1,IT,21,1
1,IT,21,1
2,IT,21,1
0,IT,35,24
1,IT,35,24
1,IT,35,24
0,IT,41,35
1,IT,41,35
2,IT,41,35
0,IT,6,18
1,IT,6,18
1,IT,6,18
1,IT,51,11
1,IT,51,11
2,IT,51,11
2,IT,32,9
2,IT,32,9
1,IT,32,9
0,IT,21,31
0,IT,21,31
0,IT,1,7
0,IT,1,7
0,IT,1,7
0,IT,18,14
0,IT,18,14
1,IT,18,14
0,IT,21,35
0,IT,21,35
0,IT,21,35
0,IT,21,6
1,IT,21,6
1,IT,21,6
0,IT,21,21
0,IT,21,21
0,IT,21,21
1,IT,6,25
0,IT,6,25
1,IT,6,25
0,IT,6,34
0,IT,6,34
0,IT,6,34
0,IT,1,27
1,IT,1,27
1,IT,1,27
0,IT,32,26
0,IT,32,26
1,IT,32,26
0,IT,51,36
1,IT,51,36
1,IT,51,36
0,IT,35,26
1,IT,35,26
2,IT,35,26
0,IT,51,8
0,IT,51,8
0,IT,51,8
1,IT,1,16
0,IT,1,16
1,IT,1,16
1,IT,8,2
0,IT,8,2
0,IT,8,2
0,IT,21,22
0,IT,21,22
0,IT,21,22
0,IT,21,18
1,IT,21,18
2,IT,21,18
0,IT,41,27
0,IT,41,27
2,IT,41,27
0,IT,8,34
1,IT,8,34
1,IT,8,34
0,IT,1,38
0,IT,1,38
1,IT,1,38
0,IT,21,26
0,IT,21,26
0,IT,21,26
0,IT,6,33
1,IT,6,33
2,IT,6,33
1,IT,17,27
1,IT,17,27
1,IT,17,27
0,IT,8,36
0,IT,8,36
1,IT,8,36
2,IT,6,10
0,IT,6,10
1,IT,6,10
0,IT,35,14
1,IT,35,14
1,IT,35,14
0,IT,8,23
0,IT,8,23
1,IT,8,23
1,IT,32,1
1,IT,32,1
2,IT,32,1
0,IT,6,23
0,IT,6,23
1,IT,6,23
0,IT,21,36
0,IT,21,36
1,IT,21,36
2,IT,18,6
1,IT,18,6
1,IT,18,6
1,IT,18,29
1,IT,18,29
2,IT,18,29
1,IT,51,3
1,IT,51,3
1,IT,51,3
1,IT,21,16
1,IT,21,16
2,IT,21,16
1,IT,8,39
1,IT,8,39
2,IT,8,39
0,IT,18,33
0,IT,18,33
1,IT,18,33
0,IT,17,18
0,IT,17,18
1,IT,17,18
0,IT,18,15
1,IT,18,15
1,IT,18,15
0,IT,21,34
1,IT,21,34
1,IT,21,34
0,IT,35,32
0,IT,35,32
1,IT,35,32
0,IT,41,31
0,IT,41,31
0,IT,41,31
0,IT,8,40
0,IT,8,40
0,IT,8,40
0,IT,21,25
1,IT,21,25
1,IT,21,25
1,IT,8,21
0,IT,8,21
1,IT,8,21
0,IT,1,10
1,IT,1,10
0,IT,1,10
0,IT,8,25
0,IT,8,25
1,IT,8,25
0,IT,21,20
1,IT,21,20
2,IT,21,20
1,IT,6,39
1,IT,6,39
1,IT,6,39
0,IT,1,13
1,IT,1,13
1,IT,1,13
0,IT,8,28
0,IT,8,28
1,IT,8,28
2,IT,18,27
2,IT,18,27
2,IT,18,27
0,IT,1,35
0,IT,1,35
0,IT,1,35
0,IT,21,17
1,IT,21,17
1,IT,21,17
1,IT,8,16
1,IT,8,16
1,IT,8,16
0,IT,1,17
1,IT,1,17
1,IT,1,17
0,IT,21,3
0,IT,21,3
1,IT,21,3
1,IT,6,35
1,IT,6,35
1,IT,6,35
1,SW,12,22
1,SW,12,22
2,SW,12,22
0,IT,51,28
1,IT,51,28
1,SW,14,14
2,SW,14,14
2,SW,14,14
0,IT,41,15
0,IT,41,15
0,IT,41,15
2,SW,11,22
2,SW,11,22
2,SW,11,22
2,SW,60,19
2,SW,60,19
2,SW,60,19
2,SW,8,38
2,SW,8,38
2,SW,8,38
1,SW,29,5
2,SW,29,5
2,SW,29,5
2,SW,47,15
2,SW,47,15
2,SW,47,15
0,SW,60,18
2,SW,60,18
2,SW,60,18
2,SW,43,34
2,SW,43,34
2,SW,43,34
2,SW,14,35
2,SW,14,35
2,SW,14,35
2,SW,12,26
2,SW,12,26
2,SW,12,26
2,SW,54,26
2,SW,54,26
2,SW,54,26
2,SW,8,13
2,SW,8,13
2,SW,8,13
2,SW,60,23
2,SW,60,23
2,SW,60,5
2,SW,60,5
2,SW,60,5
1,SW,8,21
2,SW,8,21
2,SW,8,21
2,SW,12,7
2,SW,12,7
2,SW,12,7
2,SW,54,3
2,SW,54,3
2,SW,54,3
2,SW,8,18
2,SW,8,18
2,SW,8,18
2,SW,11,15
2,SW,11,15
2,SW,11,15
2,SW,47,20
2,SW,47,20
2,SW,47,20
2,SW,43,38
2,SW,43,38
2,SW,43,38
2,SW,60,29
2,SW,60,29
2,SW,60,29
2,SW,11,14
2,SW,11,14
2,SW,11,14
2,SW,12,18
2,SW,12,18
2,SW,12,18
2,SW,29,32
2,SW,29,32
2,SW,29,32
0,IT,6,7
1,IT,6,7
2,SW,29,35
2,SW,29,35
2,SW,29,35
2,SW,43,37
2,SW,43,37
2,SW,43,37
2,SW,14,28
2,SW,14,28
2,SW,14,28
2,SW,43,9
2,SW,43,9
2,SW,43,9
2,SW,45,30
2,SW,45,30
2,SW,45,30
2,SW,54,29
2,SW,54,29
2,SW,54,29
2,SW,12,25
2,SW,12,25
2,SW,12,25
2,SW,54,36
2,SW,54,36
2,SW,54,36
2,SW,11,2
2,SW,11,2
2,SW,11,2
2,SW,29,37
2,SW,29,37
2,SW,29,37
2,SW,14,9
2,SW,14,9
2,SW,14,9
2,SW,11,36
2,SW,11,36
2,SW,11,36
2,SW,43,23
2,SW,43,23
2,SW,47,5
2,SW,47,5
2,SW,47,5
2,SW,47,8
2,SW,47,8
2,SW,47,8
2,SW,60,20
2,SW,60,20
2,SW,60,20
2,SW,11,23
2,SW,11,23
2,SW,11,23
2,SW,60,9
2,SW,60,9
2,SW,60,9
2,SW,8,39
2,SW,8,39
2,SW,8,39
1,IT,35,25
2,IT,35,25
2,IT,35,25
2,SW,45,21
2,SW,45,21
2,SW,45,21
2,SW,60,10
2,SW,60,10
2,SW,60,10
2,SW,43,26
2,SW,43,26
2,SW,43,26
2,SW,45,28
2,SW,45,28
2,SW,45,28
2,SW,12,27
2,SW,12,27
2,SW,12,27
2,IT,18,12
0,IT,18,12
1,IT,18,12
2,IT,18,12
2,SW,60,27
2,SW,60,27
2,SW,60,27
2,SW,43,11
2,SW,43,11
2,SW,43,11
2,SW,12,13
2,SW,12,13
2,SW,12,13
2,SW,45,7
2,SW,45,7
2,SW,45,7
2,SW,43,15
2,SW,43,15
2,SW,43,15
2,SW,45,14
2,SW,45,14
2,SW,45,14
2,SW,14,31
2,SW,14,31
2,SW,14,31
1,IT,6,21
1,IT,6,21
2,IT,6,21
2,SW,60,38
2,SW,60,38
2,SW,60,38
1,SW,8,33
2,SW,8,33
2,SW,8,33
2,SW,14,23
2,SW,14,23
2,SW,14,23
2,SW,14,23
2,SW,14,23
2,SW,14,23
2,SW,8,26
2,SW,8,26
2,SW,8,26
2,SW,60,36
2,SW,60,36
2,SW,60,36
2,SW,12,24
2,SW,12,24
2,SW,12,24
2,SW,54,5
2,SW,54,5
2,SW,54,5
2,SW,54,32
2,SW,54,32
2,SW,54,32
2,SW,54,39
2,SW,54,39
2,SW,54,39
2,SW,29,25
2,SW,29,25
2,SW,29,25
2,SW,8,23
2,SW,8,23
2,SW,8,23
2,SW,45,20
2,SW,45,20
2,SW,45,20
2,SW,29,27
2,SW,29,27
2,SW,29,27
2,SW,45,26
2,SW,45,26
2,SW,45,26
2,SW,29,36
2,SW,29,36
2,SW,29,36
