tube,plant_id,date,collection,flower_pos,long,short,note
124,D03_1,10-Apr,1,7,4,2,
124,D03_1,10-Apr,1,8,4,2,
124,D03_1,10-Apr,1,9,4,2,
125,D03_4,10-Apr,1,9,4,1,
125,D03_4,10-Apr,1,10,4,2,
125,D03_4,10-Apr,1,11,4,2,
126,A04,10-Apr,1,7,4,2,
126,A04,10-Apr,1,8,4,2,
126,A04,10-Apr,1,9,4,2,
127,B08,10-Apr,1,7,4,2,
127,B08,10-Apr,1,8,4,2,
127,B08,10-Apr,1,9,4,2,
128,C08,10-Apr,1,7,4,2,
128,C08,10-Apr,1,8,4,2,
128,C08,10-Apr,1,9,4,2,
129,F01,10-Apr,1,9,4,2,
129,F01,10-Apr,1,10,4,2,
129,F01,10-Apr,1,11,4,2,
130,F05,10-Apr,1,8,4,2,
130,F05,10-Apr,1,9,4,2,
130,F05,10-Apr,1,10,4,1,
131,F08,10-Apr,1,7,4,2,
131,F08,10-Apr,1,8,4,2,
131,F08,10-Apr,1,9,4,2,
132,A08,10-Apr,1,7,4,2,
132,A08,10-Apr,1,8,4,2,
132,A08,10-Apr,1,9,4,2,
133,I03,10-Apr,1,8,4,2,
133,I03,10-Apr,1,9,4,2,
133,I03,10-Apr,1,10,4,2,
134,H07,10-Apr,1,7,4,2,
134,H07,10-Apr,1,8,4,2,
134,H07,10-Apr,1,9,4,2,
135,A14,10-Apr,1,7,4,2,
135,A14,10-Apr,1,8,4,2,
135,A14,10-Apr,1,9,4,2,
136,A09,11-Apr,1,7,4,2,
136,A09,11-Apr,1,8,4,2,
136,A09,11-Apr,1,9,4,2,
137,H04,11-Apr,1,8,4,1,
137,H04,11-Apr,1,9,4,1,one normal short stamen and one petalloid short stamen. Petalloid not counted
137,H04,11-Apr,1,10,4,2,
138,A12,11-Apr,1,8,4,2,
138,A12,11-Apr,1,9,4,2,
138,A12,11-Apr,1,10,4,2,
139,K06,11-Apr,1,7,4,2,
139,K06,11-Apr,1,8,4,2,
139,K06,11-Apr,1,9,4,2,
140,L08,11-Apr,1,8,4,2,
140,L08,11-Apr,1,9,4,2,
140,L08,11-Apr,1,10,4,2,
141,A15,11-Apr,1,7,4,2,
141,A15,11-Apr,1,8,4,2,
141,A15,11-Apr,1,9,4,2,
