"","Tube","Line","rep_num","CollectionDate","FlowerPos","LongStamenNum","ShortStamenNum","IsSideFlower","collection","plant_id"
"1",1,"SALK_012835",3,"1/11/22",9,4,2,0,NA,"SALK_012835-3"
"2",1,"SALK_012835",3,"1/11/22",10,4,2,0,NA,"SALK_012835-3"
"3",1,"SALK_012835",3,"1/11/22",11,4,2,0,NA,"SALK_012835-3"
"4",2,"SALK_012835",4,"1/11/22",10,4,2,0,NA,"SALK_012835-4"
"5",2,"SALK_012835",4,"1/11/22",11,4,2,0,NA,"SALK_012835-4"
"6",2,"SALK_012835",4,"1/11/22",12,4,2,0,NA,"SALK_012835-4"
"7",3,"SALK_055242",2,"1/11/22",8,4,2,0,NA,"SALK_055242-2"
"8",3,"SALK_055242",2,"1/11/22",9,4,2,0,NA,"SALK_055242-2"
"9",3,"SALK_055242",2,"1/11/22",10,5,1,0,NA,"SALK_055242-2"
"10",4,"Col",3,"1/11/22",10,4,2,0,NA,"Col-3"
"11",4,"Col",3,"1/11/22",11,4,2,0,NA,"Col-3"
"12",4,"Col",3,"1/11/22",12,4,2,0,NA,"Col-3"
"13",5,"Col",5,"1/11/22",7,4,2,0,NA,"Col-5"
"14",5,"Col",5,"1/11/22",8,4,2,0,NA,"Col-5"
"15",5,"Col",5,"1/11/22",9,4,2,0,NA,"Col-5"
"16",6,"Col",15,"1/11/22",10,4,1,0,NA,"Col-15"
"17",6,"Col",15,"1/11/22",11,4,2,0,NA,"Col-15"
"18",6,"Col",15,"1/11/22",12,4,2,0,NA,"Col-15"
"19",7,"SALK_065777",6,"1/11/22",8,4,2,0,NA,"SALK_065777-6"
"20",7,"SALK_065777",6,"1/11/22",9,4,2,0,NA,"SALK_065777-6"
"21",7,"SALK_065777",6,"1/11/22",10,4,1,0,NA,"SALK_065777-6"
"22",8,"Col",17,"1/11/22",7,4,2,0,NA,"Col-17"
"23",8,"Col",17,"1/11/22",8,3,2,0,NA,"Col-17"
"24",8,"Col",17,"1/11/22",9,4,2,0,NA,"Col-17"
"25",9,"Col",1,"1/12/22",7,4,2,0,NA,"Col-1"
"26",9,"Col",1,"1/12/22",8,4,2,0,NA,"Col-1"
"27",9,"Col",1,"1/12/22",9,4,2,0,NA,"Col-1"
"28",10,"Col",6,"1/12/22",9,4,2,0,NA,"Col-6"
"29",10,"Col",6,"1/12/22",10,4,2,0,NA,"Col-6"
"30",10,"Col",6,"1/12/22",11,4,2,0,NA,"Col-6"
"31",11,"Col",7,"1/12/22",7,4,2,0,NA,"Col-7"
"32",11,"Col",7,"1/12/22",8,4,2,0,NA,"Col-7"
"33",11,"Col",7,"1/12/22",9,4,2,0,NA,"Col-7"
"34",12,"Col",10,"1/12/22",12,4,2,0,NA,"Col-10"
"35",12,"Col",10,"1/12/22",14,4,2,0,NA,"Col-10"
"36",12,"Col",10,"1/12/22",15,4,2,0,NA,"Col-10"
"37",13,"SALK_012835",8,"1/12/22",8,4,2,0,NA,"SALK_012835-8"
"38",13,"SALK_012835",8,"1/12/22",9,4,2,0,NA,"SALK_012835-8"
"39",13,"SALK_012835",8,"1/12/22",10,4,2,0,NA,"SALK_012835-8"
"40",14,"Col",11,"1/12/22",12,4,2,0,NA,"Col-11"
"41",14,"Col",11,"1/12/22",13,4,2,0,NA,"Col-11"
"42",14,"Col",11,"1/12/22",14,4,2,0,NA,"Col-11"
"43",15,"Col",12,"1/12/22",7,4,2,0,NA,"Col-12"
"44",15,"Col",12,"1/12/22",8,4,2,0,NA,"Col-12"
"45",15,"Col",12,"1/12/22",9,4,2,0,NA,"Col-12"
"49",17,"SALK_028815",11,"1/12/22",11,4,2,0,NA,"SALK_028815-11"
"50",17,"SALK_028815",11,"1/12/22",12,4,2,0,NA,"SALK_028815-11"
"51",17,"SALK_028815",11,"1/12/22",13,4,2,0,NA,"SALK_028815-11"
"52",18,"SALK_055242",6,"1/12/22",8,4,2,0,NA,"SALK_055242-6"
"53",18,"SALK_055242",6,"1/12/22",9,4,2,0,NA,"SALK_055242-6"
"54",18,"SALK_055242",6,"1/12/22",10,4,2,0,NA,"SALK_055242-6"
"55",19,"SALK_012835",2,"1/13/22",7,4,1,0,NA,"SALK_012835-2"
"56",19,"SALK_012835",2,"1/13/22",8,4,2,0,NA,"SALK_012835-2"
"57",19,"SALK_012835",2,"1/13/22",9,4,2,0,NA,"SALK_012835-2"
"58",20,"Col",9,"1/13/22",8,4,2,0,NA,"Col-9"
"59",20,"Col",9,"1/13/22",9,4,2,0,NA,"Col-9"
"60",20,"Col",9,"1/13/22",10,4,2,0,NA,"Col-9"
"61",21,"Col",16,"1/13/22",8,4,2,0,NA,"Col-16"
"62",21,"Col",16,"1/13/22",9,4,2,0,NA,"Col-16"
"63",21,"Col",16,"1/13/22",10,4,2,0,NA,"Col-16"
"64",22,"SALK_028815",1,"1/13/22",7,4,2,0,NA,"SALK_028815-1"
"65",22,"SALK_028815",1,"1/13/22",8,4,2,0,NA,"SALK_028815-1"
"66",22,"SALK_028815",1,"1/13/22",9,4,2,0,NA,"SALK_028815-1"
"67",23,"Col",2,"1/13/22",7,4,2,0,NA,"Col-2"
"68",23,"Col",2,"1/13/22",8,4,2,0,NA,"Col-2"
"69",23,"Col",2,"1/13/22",9,4,2,0,NA,"Col-2"
"70",24,"SALK_028815",8,"1/13/22",8,4,2,0,NA,"SALK_028815-8"
"71",24,"SALK_028815",8,"1/13/22",9,4,2,0,NA,"SALK_028815-8"
"72",24,"SALK_028815",8,"1/13/22",10,4,2,0,NA,"SALK_028815-8"
"73",25,"Col",13,"1/13/22",8,4,2,0,NA,"Col-13"
"74",25,"Col",13,"1/13/22",9,4,2,0,NA,"Col-13"
"75",25,"Col",13,"1/13/22",10,4,2,0,NA,"Col-13"
"76",26,"SALK_055242",3,"1/14/22",11,4,2,0,NA,"SALK_055242-3"
"77",26,"SALK_055242",3,"1/14/22",12,4,2,0,NA,"SALK_055242-3"
"78",26,"SALK_055242",3,"1/14/22",13,4,2,0,NA,"SALK_055242-3"
"79",27,"SALK_055242",9,"1/14/22",7,4,2,0,NA,"SALK_055242-9"
"80",27,"SALK_055242",9,"1/14/22",8,4,2,0,NA,"SALK_055242-9"
"81",27,"SALK_055242",9,"1/14/22",9,4,2,0,NA,"SALK_055242-9"
"82",28,"Col",4,"1/14/22",8,4,2,0,NA,"Col-4"
"83",28,"Col",4,"1/14/22",9,4,2,0,NA,"Col-4"
"84",28,"Col",4,"1/14/22",10,4,2,0,NA,"Col-4"
"85",29,"SALK_065777",9,"1/14/22",7,4,2,0,NA,"SALK_065777-9"
"86",29,"SALK_065777",9,"1/14/22",8,4,2,0,NA,"SALK_065777-9"
"87",29,"SALK_065777",9,"1/14/22",9,4,2,0,NA,"SALK_065777-9"
"88",30,"SALK_065777",11,"1/14/22",7,4,2,0,NA,"SALK_065777-11"
"89",30,"SALK_065777",11,"1/14/22",8,4,2,0,NA,"SALK_065777-11"
"90",30,"SALK_065777",11,"1/14/22",9,4,2,0,NA,"SALK_065777-11"
"91",31,"Col",19,"1/14/22",10,4,2,0,NA,"Col-19"
"92",31,"Col",19,"1/14/22",11,4,2,0,NA,"Col-19"
"93",31,"Col",19,"1/14/22",12,4,2,0,NA,"Col-19"
"97",33,"Col",8,"1/14/22",7,4,2,0,NA,"Col-8"
"98",33,"Col",8,"1/14/22",8,4,2,0,NA,"Col-8"
"99",33,"Col",8,"1/14/22",9,4,2,0,NA,"Col-8"
"106",36,"SALK_012835",3,"1/14/22",16,4,2,0,NA,"SALK_012835-3"
"107",36,"SALK_012835",3,"1/14/22",17,4,2,0,NA,"SALK_012835-3"
"108",36,"SALK_012835",3,"1/14/22",18,4,2,0,NA,"SALK_012835-3"
"109",37,"Col",10,"1/14/22",18,4,2,0,NA,"Col-10"
"110",37,"Col",10,"1/14/22",19,4,2,0,NA,"Col-10"
"111",37,"Col",10,"1/14/22",20,4,2,0,NA,"Col-10"
"112",38,"SALK_028815",4,"1/14/22",7,4,2,0,NA,"SALK_028815-4"
"113",38,"SALK_028815",4,"1/14/22",8,4,2,0,NA,"SALK_028815-4"
"114",38,"SALK_028815",4,"1/14/22",9,4,2,0,NA,"SALK_028815-4"
"115",39,"SALK_012835",3,"1/17/22",22,4,2,0,NA,"SALK_012835-3"
