Tube,Line,Plant,UniqID,CollectionDate,FlowerPos,LongStamenNum,ShortStamenNum,IsSideFlower,EndTray
1,SALK_012835,3,B03,1/11/22,9,4,2,0,1
1,SALK_012835,3,B03,1/11/22,10,4,2,0,1
1,SALK_012835,3,B03,1/11/22,11,4,2,0,1
2,SALK_012835,4,B04,1/11/22,10,4,2,0,1
2,SALK_012835,4,B04,1/11/22,11,4,2,0,1
2,SALK_012835,4,B04,1/11/22,12,4,2,0,1
3,SALK_055242,2,C02,1/11/22,8,4,2,0,2
3,SALK_055242,2,C02,1/11/22,9,4,2,0,2
3,SALK_055242,2,C02,1/11/22,10,5,1,0,2
4,Col,3,A03,1/11/22,10,4,2,0,2
4,Col,3,A03,1/11/22,11,4,2,0,2
4,Col,3,A03,1/11/22,12,4,2,0,2
5,Col,5,A05,1/11/22,7,4,2,0,3
5,Col,5,A05,1/11/22,8,4,2,0,3
5,Col,5,A05,1/11/22,9,4,2,0,3
6,Col,15,A15,1/11/22,10,4,1,0,2
6,Col,15,A15,1/11/22,11,4,2,0,2
6,Col,15,A15,1/11/22,12,4,2,0,2
7,SALK_065777,6,D06,1/11/22,8,4,2,0,2
7,SALK_065777,6,D06,1/11/22,9,4,2,0,2
7,SALK_065777,6,D06,1/11/22,10,4,1,0,2
8,Col,17,A17,1/11/22,7,4,2,0,1
8,Col,17,A17,1/11/22,8,3,2,0,1
8,Col,17,A17,1/11/22,9,4,2,0,1
9,Col,1,A01,1/12/22,7,4,2,0,1
9,Col,1,A01,1/12/22,8,4,2,0,1
9,Col,1,A01,1/12/22,9,4,2,0,1
10,Col,6,A06,1/12/22,9,4,2,0,2
10,Col,6,A06,1/12/22,10,4,2,0,2
10,Col,6,A06,1/12/22,11,4,2,0,2
11,Col,7,A07,1/12/22,7,4,2,0,2
11,Col,7,A07,1/12/22,8,4,2,0,2
11,Col,7,A07,1/12/22,9,4,2,0,2
12,Col,10,A10,1/12/22,12,4,2,0,1
12,Col,10,A10,1/12/22,14,4,2,0,1
12,Col,10,A10,1/12/22,15,4,2,0,1
13,SALK_012835,8,B08,1/12/22,8,4,2,0,1
13,SALK_012835,8,B08,1/12/22,9,4,2,0,1
13,SALK_012835,8,B08,1/12/22,10,4,2,0,1
14,Col,11,A11,1/12/22,12,4,2,0,3
14,Col,11,A11,1/12/22,13,4,2,0,3
14,Col,11,A11,1/12/22,14,4,2,0,3
15,Col,12,A12,1/12/22,7,4,2,0,1
15,Col,12,A12,1/12/22,8,4,2,0,1
15,Col,12,A12,1/12/22,9,4,2,0,1
16,SALK_012835,9,B09,1/12/22,16,4,2,0,3
16,SALK_012835,9,B09,1/12/22,17,4,1,0,3
16,SALK_012835,9,B09,1/12/22,18,4,2,0,3
17,SALK_028815,11,E11,1/12/22,11,4,2,0,1
17,SALK_028815,11,E11,1/12/22,12,4,2,0,1
17,SALK_028815,11,E11,1/12/22,13,4,2,0,1
18,SALK_055242,6,C06,1/12/22,8,4,2,0,2
18,SALK_055242,6,C06,1/12/22,9,4,2,0,2
18,SALK_055242,6,C06,1/12/22,10,4,2,0,2
19,SALK_012835,2,B02,1/13/22,7,4,1,0,1
19,SALK_012835,2,B02,1/13/22,8,4,2,0,1
19,SALK_012835,2,B02,1/13/22,9,4,2,0,1
20,Col,9,A09,1/13/22,8,4,2,0,1
20,Col,9,A09,1/13/22,9,4,2,0,1
20,Col,9,A09,1/13/22,10,4,2,0,1
21,Col,16,A16,1/13/22,8,4,2,0,1
21,Col,16,A16,1/13/22,9,4,2,0,1
21,Col,16,A16,1/13/22,10,4,2,0,1
22,SALK_028815,1,E01,1/13/22,7,4,2,0,1
22,SALK_028815,1,E01,1/13/22,8,4,2,0,1
22,SALK_028815,1,E01,1/13/22,9,4,2,0,1
23,Col,2,A02,1/13/22,7,4,2,0,1
23,Col,2,A02,1/13/22,8,4,2,0,1
23,Col,2,A02,1/13/22,9,4,2,0,1
24,SALK_028815,8,E08,1/13/22,8,4,2,0,1
24,SALK_028815,8,E08,1/13/22,9,4,2,0,1
24,SALK_028815,8,E08,1/13/22,10,4,2,0,1
25,Col,13,A13,1/13/22,8,4,2,0,1
25,Col,13,A13,1/13/22,9,4,2,0,1
25,Col,13,A13,1/13/22,10,4,2,0,1
26,SALK_055242,3,C03,1/14/22,11,4,2,0,2
26,SALK_055242,3,C03,1/14/22,12,4,2,0,2
26,SALK_055242,3,C03,1/14/22,13,4,2,0,2
27,SALK_055242,9,C09,1/14/22,7,4,2,0,2
27,SALK_055242,9,C09,1/14/22,8,4,2,0,2
27,SALK_055242,9,C09,1/14/22,9,4,2,0,2
28,Col,4,A04,1/14/22,8,4,2,0,2
28,Col,4,A04,1/14/22,9,4,2,0,2
