Tube,Line,rep_num,CollectionDate,FlowerPos,LongStamenNum,ShortStamenNum,IsSideFlower,collection
1,SALK_012835,3,1/11/22,9,4,2,0,
1,SALK_012835,3,1/11/22,10,4,2,0,
1,SALK_012835,3,1/11/22,11,4,2,0,
2,SALK_012835,4,1/11/22,10,4,2,0,
2,SALK_012835,4,1/11/22,11,4,2,0,
2,SALK_012835,4,1/11/22,12,4,2,0,
3,SALK_055242,2,1/11/22,8,4,2,0,
3,SALK_055242,2,1/11/22,9,4,2,0,
3,SALK_055242,2,1/11/22,10,5,1,0,
4,Col,3,1/11/22,10,4,2,0,
4,Col,3,1/11/22,11,4,2,0,
4,Col,3,1/11/22,12,4,2,0,
5,Col,5,1/11/22,7,4,2,0,
5,Col,5,1/11/22,8,4,2,0,
5,Col,5,1/11/22,9,4,2,0,
6,Col,15,1/11/22,10,4,1,0,
6,Col,15,1/11/22,11,4,2,0,
6,Col,15,1/11/22,12,4,2,0,
7,SALK_065777,6,1/11/22,8,4,2,0,
7,SALK_065777,6,1/11/22,9,4,2,0,
7,SALK_065777,6,1/11/22,10,4,1,0,
8,Col,17,1/11/22,7,4,2,0,
8,Col,17,1/11/22,8,3,2,0,
8,Col,17,1/11/22,9,4,2,0,
9,Col,1,1/12/22,7,4,2,0,
9,Col,1,1/12/22,8,4,2,0,
9,Col,1,1/12/22,9,4,2,0,
10,Col,6,1/12/22,9,4,2,0,
10,Col,6,1/12/22,10,4,2,0,
10,Col,6,1/12/22,11,4,2,0,
11,Col,7,1/12/22,7,4,2,0,
11,Col,7,1/12/22,8,4,2,0,
11,Col,7,1/12/22,9,4,2,0,
12,Col,10,1/12/22,12,4,2,0,
12,Col,10,1/12/22,14,4,2,0,
12,Col,10,1/12/22,15,4,2,0,
13,SALK_012835,8,1/12/22,8,4,2,0,
13,SALK_012835,8,1/12/22,9,4,2,0,
13,SALK_012835,8,1/12/22,10,4,2,0,
14,Col,11,1/12/22,12,4,2,0,
14,Col,11,1/12/22,13,4,2,0,
14,Col,11,1/12/22,14,4,2,0,
15,Col,12,1/12/22,7,4,2,0,
15,Col,12,1/12/22,8,4,2,0,
15,Col,12,1/12/22,9,4,2,0,
16,SALK_012835,9,1/12/22,16,4,2,0,
16,SALK_012835,9,1/12/22,17,4,1,0,
16,SALK_012835,9,1/12/22,18,4,2,0,
17,SALK_028815,11,1/12/22,11,4,2,0,
