Line,id,stock_num
KT101,1,CS96685
KT102,2,CS96686
KT103,3,CS96687
KT104,4,CS96688
KT105,5,CS96689
KT107,6,CS96690
KT108,7,CS96691
KT109,8,CS96692
KT110,9,CS96693
KT111,10,CS96694
KT113,11,CS96695
KT116,12,CS96696
KT117,13,CS96697
KT118,14,CS96698 
KT119,15,CS96699 
KT120,16,CS96700 
KT121,17,CS96701 
KT122,18,CS96702 
KT124,19,CS96703 
KT125,20,CS96704 
KT126,21,CS96705 
KT127,22,CS96706 
KT128,23,CS96707 
KT129,24,CS96708 
KT130,25,CS96709 
KT131,26,CS96710 
KT132,27,CS96711 
KT133,28,CS96712 
KT134,29,CS96713 
KT135,30,CS96714 
KT136,31,CS96715 
KT137,32,CS96716 
KT138,33,CS96717 
KT139,34,CS96718 
KT140,35,CS96719 
KT141,36,CS96720 
KT142,37,CS96721 
KT143,38,CS96722 
KT144,39,CS96723 
KT145,40,CS96724 
KT146,41,CS96725 
KT147,42,CS96726 
KT148,43,CS96727 
KT150,44,CS96728 
KT151,45,CS96729 
KT152,46,CS96730 
KT153,47,CS96731 
KT154,48,CS96732 
KT155,49,CS96733 
KT156,50,CS96734 
KT157,51,CS96735 
KT158,52,CS96736 
KT159,53,CS96737 
KT160,54,CS96738 
KT161,55,CS96739 
KT162,56,CS96740 
KT163,57,CS96741 
KT164,58,CS96742 
KT165,59,CS96743 
KT166,60,CS96744 
KT167,61,CS96745 
KT168,62,CS96746 
KT169,63,CS96747 
KT170,64,CS96748 
KT171,65,CS96749 
KT172,66,CS96750 
KT173,67,CS96751 
KT174,68,CS96752 
KT175,69,CS96753 
KT176,70,CS96754 
KT177,71,CS96755 
KT178,72,CS96756 
KT179,73,CS96757 
KT180,74,CS96758 
KT181,75,CS96759 
KT182,76,CS96760 
KT183,77,CS96761 
KT184,78,CS96762 
KT186,79,CS96763 
KT188,80,CS96764 
KT189,81,CS96765 
KT191,82,CS96766 
KT192,83,CS96767 
KT193,84,CS96768 
KT194,85,CS96769 
KT195,86,CS96770 
KT196,87,CS96771 
KT197,88,CS96772 
KT198,89,CS96773 
KT199,90,CS96774 
KT201,91,CS96775 
KT202,92,CS96776 
KT203,93,CS96777 
KT204,94,CS96778 
KT206,95,CS96779 
KT207,96,CS96780 
KT208,97,CS96781 
KT209,98,CS96782 
KT210,99,CS96783 
KT211,100,CS96784 
KT212,101,CS96785 
KT215,102,CS96786 
KT218,103,CS96787 
KT219,104,CS96788 
KT220,105,CS96789 
KT221,106,CS96790 
KT222,107,CS96791 
KT223,108,CS96792 
KT224,109,CS96793 
KT225,110,CS96794 
KT227,111,CS96795 
KT228,112,CS96796 
KT229,113,CS96797 
KT230,114,CS96798 
KT231,115,CS96799 
KT232,116,CS96800 
KT233,117,CS96801 
KT234,118,CS96802 
KT235,119,CS96803 
KT237,120,CS96804 
KT238,121,CS96805 
KT239,122,CS96806 
KT240,123,CS96807 
KT242,124,CS96808 
KT244,125,CS96809 
KT245,126,CS96810 
KT246,127,CS96811 
KT247,128,CS96812 
KT249,129,CS96813 
KT250,130,CS96814 
KT251,131,CS96815 
KT252,132,CS96816 
KT253,133,CS96817 
KT254,134,CS96818 
KT255,135,CS96819 
KT256,136,CS96820 
KT257,137,CS96821 
KT258,138,CS96822 
KT259,139,CS96823 
KT260,140,CS96824 
KT261,141,CS96825 
KT262,142,CS96826 
KT264,143,CS96827 
KT265,144,CS96828 
KT266,145,CS96829 
TK002,146,CS96830 
TK003,147,CS96831 
TK004,148,CS96832 
TK005,149,CS96833 
TK006,150,CS96834
TK007,151,CS96835 
TK008,152,CS96836 
TK009,153,CS96837 
TK010,154,CS96838 
TK011,155,CS96839 
TK012,156,CS96840 
TK013,157,CS96841 
TK014,158,CS96842 
TK015,159,CS96843 
TK016,160,CS96844 
TK017,161,CS96845 
TK018,162,CS96846 
TK019,163,CS96847 
TK020,164,CS96848 
TK021,165,CS96849 
TK022,166,CS96850 
TK023,167,CS96851 
TK024,168,CS96852 
TK025,169,CS96853 
TK026,170,CS96854 
TK027,171,CS96855 
TK028,172,CS96856 
TK029,173,CS96857 
TK030,174,CS96858 
TK031,175,CS96859 
TK032,176,CS96860 
TK033,177,CS96861 
TK034,178,CS96862 
TK035,179,CS96863 
TK036,180,CS96864 
TK037,181,CS96865 
TK038,182,CS96866 
TK039,183,CS96867 
TK040,184,CS96868 
TK041,185,CS96869 
TK042,186,CS96870 
TK043,187,CS96871 
TK044,188,CS96872 
TK045,189,CS96873 
TK046,190,CS96874 
TK047,191,CS96875 
TK048,192,CS96876 
TK050,193,CS96877 
TK052,194,CS96878 
TK053,195,CS96879 
TK054,196,CS96880 
TK055,197,CS96881 
TK056,198,CS96882 
TK057,199,CS96883 
TK058,200,CS96884 
TK059,201,CS96885 
TK060,202,CS96886 
TK061,203,CS96887 
TK062,204,CS96888 
TK063,205,CS96889 
TK064,206,CS96890 
TK065,207,CS96891 
TK066,208,CS96892 
TK068,209,CS96893 
TK069,210,CS96894 
TK070,211,CS96895 
TK071,212,CS96896 
TK072,213,CS96897 
TK073,214,CS96898 
TK075,215,CS96899 
TK076,216,CS96900 
TK077,217,CS96901 
TK078,218,CS96902 
TK079,219,CS96903 
TK080,220,CS96904 
TK081,221,CS96905 
TK082,222,CS96906 
TK084,223,CS96907 
TK085,224,CS96908 
TK086,225,CS96909 
TK087,226,CS96910 
TK088,227,CS96911 
TK090,228,CS96912 
TK091,229,CS96913 
TK092,230,CS96914 
TK093,231,CS96915 
TK094,232,CS96916 
TK095,233,CS96917 
TK096,234,CS96918 
TK097,235,CS96919 
TK098,236,CS96920 
TK099,237,CS96921 
TK100,238,CS96922 
TK101,239,CS96923 
TK102,240,CS96924 
TK103,241,CS96925 
