ril,lsm_ov_num,std_error,mean_ov_num
96685,43.338093,2.3298317,48.7619
96686,42.296114,2.5076621,42.8333
96687,39.213033,2.4948037,40.1667
96688,38.791336,2.5125125,44.1667
96689,46.06649,2.4958361,49.1667
96690,41.9768,2.5080964,45.8333
96691,44.158347,2.5151958,49.8889
96692,48.062322,2.5045507,52.6667
96693,45.716044,2.5114456,48.1667
96694,39.943549,2.5482406,39
96695,53.280981,2.5114898,58.7778
96696,44.852964,2.5147732,50.3889
96697,41.843139,2.4982943,45.6667
96698,41.270089,2.4970368,44.8333
96699,36.849542,2.5823043,37.6667
96700,44.073977,2.5007217,44.8333
96701,55.183111,2.5304068,55
96702,46.422193,2.5050012,51
96703,41.024015,2.5352609,43
96704,47.332058,2.5091636,52.4583
96705,46.323507,2.496612,49.8333
96706,46.77552,2.5049807,51.1111
96707,43.510026,2.503666,47.8333
96708,45.994703,2.5094624,51.1111
96709,49.397966,2.5034869,53
96710,35.114822,2.4998198,37
96711,45.05117,2.6326763,45
96712,48.776235,2.5512267,50.1667
96713,45.881415,2.5064461,50.3333
96714,48.166408,2.5973034,48.3333
96715,50.24451,2.5924512,50.8333
96716,40.885446,2.5101174,45.5
96717,40.933491,2.5080736,44.1667
96718,46.391846,2.5130027,49
96719,44.133149,2.5791121,45.1667
96720,46.59352,2.5094785,51.5
96721,42.830721,2.4904911,43.6667
96722,50.914605,2.50696,55.8333
96723,38.055182,2.5663493,39.3333
96724,46.235928,2.5091517,51.5
96725,35.874,2.5074127,39
96726,49.357129,2.5912952,49.8333
96727,42.009589,2.5511756,43.3333
96728,45.444983,2.5067812,50.3889
96729,45.123056,2.5103752,48
96730,41.669972,2.510288,46.8333
96731,48.485194,2.5363116,48.1667
96732,41.218138,2.5278953,43.5
96733,44.634354,2.5112788,44.8333
96734,51.722297,2.7721998,49.3333
96735,47.331253,2.5578155,46.6667
96736,38.774668,2.4975429,39.5
96737,41.433216,2.5091268,46.6667
96738,38.212639,2.4963831,41.6667
96739,40.695323,2.5062773,44.1667
96740,43.369401,3.5739969,42
96741,42.809182,2.5070051,47.6667
96742,48.235299,2.5074585,53.3333
96743,50.309846,2.497498,54
96744,44.82957,2.6053029,45.3333
96745,45.72922,2.5098748,51.0556
96746,41.752582,2.506014,45.8333
96747,46.775684,2.5038132,49.8333
96748,44.332749,2.5086312,49.6111
96749,53.464475,2.5885587,53.1667
96750,42.292102,2.499648,46.1667
96751,39.442062,2.5101713,44.6667
96752,41.694112,2.5052168,45.6667
96753,44.499074,2.5255044,46.8333
96754,41.101006,2.5074156,46
96755,46.158236,2.7432413,50.2
96756,41.113799,2.4960386,44
96757,40.682044,3.523653,35.3333
96758,43.969673,2.5067775,49
96759,44.344501,2.5086237,47.1667
96760,49.380925,2.5213279,51
96761,43.742239,2.5171011,49.5
96762,45.394933,2.499754,48.0556
96763,38.745679,2.4939738,38.5
96764,42.513314,2.5120725,47.9444
96765,44.536726,2.6027134,45
96766,55.968608,3.8783242,48.3333
96767,40.531154,2.5109719,45.8333
96769,39.461643,2.4984141,42.8333
96770,41.645815,2.509119,46.8333
96771,45.005547,2.7818621,41.6667
96772,41.011273,2.5377475,43.5
96773,43.166161,2.5052482,47.3333
96774,51.408212,2.5096855,55
96775,43.881151,2.3235846,49.2857
96776,43.070378,2.5119376,48.3889
96777,37.896028,2.5116848,43.5
96778,40.016529,2.5233041,38.3333
96779,35.661895,2.5108152,38.3333
96780,38.46869,2.5169542,41.1667
96781,49.10882,2.5448353,49.5
96782,40.385094,2.5148996,45.7778
96783,41.586801,2.4988366,45
96784,44.875175,2.5192661,47.5
96785,44.0258,2.5239456,46.8333
96786,39.144267,2.507454,43.8333
96787,41.686939,2.5071632,46.6111
96788,39.248568,2.5086801,44.3333
96789,41.388407,2.5073664,46.3333
96790,42.296779,2.5121699,47.6667
96791,40.605861,3.5409875,42.3333
96792,45.498003,2.5120579,50.9444
96793,42.329443,2.5103743,47.6667
96794,49.052896,2.5049039,53.3333
96795,42.625198,2.4967633,46.1667
96796,51.424781,2.506509,55.3333
96797,44.719295,2.5215857,47.6667
96798,46.426435,2.5635172,47.1667
96799,39.955421,2.5210339,42.6667
96800,49.774179,2.5902857,50
96801,47.020118,2.5161507,52.4444
96802,42.117612,2.5100032,45
96803,35.575317,2.5040547,39.8333
96804,46.988559,2.5098449,50.3333
96805,44.885807,2.509973,48.3333
96806,40.688639,2.5302382,42.6667
96807,48.611748,2.571536,48.3333
96808,44.64425,2.5003048,48.1667
96809,47.373898,2.5079411,50.8333
96810,45.862399,2.5032927,46.6667
96811,39.310715,2.5059663,42.5
96812,42.980458,2.5007803,46
96813,53.461103,2.5137231,56.5
96814,50.5873,2.5398093,52.5
96815,41.9546,2.5109107,47.3333
96816,48.592691,2.5226696,50.6667
96817,44.798958,2.4975604,48.5
96818,46.078062,2.5361314,48.1667
96819,45.902086,2.5040316,49.5
96820,47.504571,2.5466484,49.6667
96821,51.835881,2.5796294,52.8333
96822,46.263287,2.5162793,48.8333
96823,50.550219,2.6850823,47.8333
96824,40.617528,2.5053393,41.3333
96825,43.101345,2.5124337,48
96826,41.45105,2.5129902,46.9444
96827,42.73409,2.5102422,47.3333
96828,50.585086,2.5074302,51.8333
96829,44.232321,2.5021708,47.8333
96830,40.077479,2.492421,41.5
96831,46.5367,2.5099434,51.5
96832,42.58659,2.505661,47.0556
96833,44.342291,2.5075167,46.5
96834,44.908719,2.4980878,47.8333
96835,41.432825,2.5121133,46.8333
96836,45.430375,2.4927636,47.5
96837,44.338681,2.5086498,49.5
96838,39.007372,2.5002054,43
96839,45.068108,3.546229,47.5278
96840,39.738344,2.4989745,43.6667
96841,43.462817,2.5099071,48.6667
96842,45.004854,2.5129948,50.6667
96843,46.027367,2.5079816,51.1111
96844,47.599004,2.5115059,53.1111
96845,45.845876,2.5085673,50.8333
96846,44.161233,2.5004539,47.2778
96847,43.757556,2.5112164,49.1111
96848,48.10582,2.5057311,52.8333
96849,44.277681,2.5088808,49.4444
96850,40.189744,2.5001801,39.3333
96851,47.09872,2.5086431,52.0556
96852,38.943712,2.5114873,44.3333
96853,51.666712,2.5104756,57.1111
96854,44.769068,2.4973512,48.3333
96855,45.313736,2.4976487,48.8889
96856,45.792119,2.5070587,50.8333
96857,45.155178,2.501837,49.2778
96858,42.876025,2.4995733,44.8333
96859,42.395147,2.5108038,45.3333
96860,38.000469,2.5040656,37.6667
96861,44.217946,2.5086562,49.3333
96862,49.925256,2.5043237,54.5
96863,46.781712,2.5126433,52.1111
96864,48.953444,2.5063317,53.6667
96865,38.23125,2.4980142,42
96866,45.111502,2.5096076,50.1667
96867,46.496501,2.5079091,51.6667
96868,42.690869,2.5114683,48.1111
96869,42.411832,2.5076047,47.5
96870,42.577716,2.5135138,48
96871,40.931174,2.5107724,46.1667
96872,38.776025,2.5124767,44.1667
96873,46.928087,2.5103756,52.25
96874,45.075436,2.5098283,50.1667
96875,38.117083,2.4962436,41.5
96876,41.235897,2.5034512,40.8333
96877,39.735571,2.5000854,43.8333
96878,52.238451,2.5129443,57.7778
96879,51.575528,2.5444674,51.8333
96880,47.816009,2.5053485,52.1111
96881,46.822032,2.5659157,47.5
96882,48.691886,2.4920698,49.8333
96883,42.509249,2.5333803,42.5
96884,34.849589,2.5063171,32.8333
96885,46.303431,2.5031115,49.8333
96886,43.06215,2.5010326,47
96887,41.685164,2.5046667,46
96888,42.651278,2.5038225,46.6667
96889,46.331118,2.5156972,51.75
96890,38.895773,2.5003447,43
96891,40.349044,2.5146496,45.5417
96892,53.855242,2.6153768,53.8333
96893,41.593099,2.5092767,43.3333
96894,39.10138,2.4978148,42.6667
96895,44.11301,2.5096749,49.0556
96896,45.732338,2.5090853,50.5
96897,44.91207,2.512417,50.3333
96898,43.627732,2.5099276,49
96899,43.929837,2.5581225,44.6667
96900,40.187262,2.5278221,41
96901,45.338051,2.5069922,50.3333
96902,43.858322,2.514576,49.4861
96903,44.217355,2.5167087,46.8333
96904,38.714208,2.5076396,39.1667
96906,43.261428,2.5080153,47.3333
96907,40.688942,2.4885756,41.3333
96908,44.791819,2.5479638,45.1667
96909,47.357383,2.5455939,48
96910,46.126921,2.557516,47.5
96911,43.192516,2.5106749,45.8333
96912,53.254833,2.5242782,55.6667
96913,37.20849,2.5052446,41
96914,53.64733,2.5054202,58.3333
96915,50.241202,2.4926479,52.5
96916,45.333707,2.5027223,49.2222
96917,49.719596,2.5098574,55
96918,46.130869,2.5508166,45.5
96919,34.241172,2.52301,36.8333
96920,41.784735,2.5079662,46.5
96921,48.289942,2.5043095,52.6667
96922,47.539763,2.5073579,52.5
96923,45.300573,2.5105272,50.5
96924,46.960146,2.5096537,52
96925,42.636954,2.5064552,45.6667
96926,43.435024,2.507224,43.6667
96927,43.250493,2.5071277,46.5
96928,45.66302,2.5106932,50.9444
96929,46.244318,2.5092612,49.6667
96930,48.538868,2.5685923,47.3333
96931,48.232327,2.3311093,49.1429
96932,52.576585,2.6082546,52.8333
96933,46.770986,3.562968,44.6667
96934,37.747464,2.5040506,42
96935,55.136906,2.5306211,56
96936,46.206365,2.5163177,49.1667
96937,43.912239,2.5020944,46.3333
96938,45.177619,2.5957646,46.5
96939,40.271639,2.5104453,43.3333
96940,49.393833,2.4998692,53.1667
96941,49.006971,2.5768352,50
96942,52.585701,2.5044932,57.1111
96943,59.749951,3.7319409,61
96944,42.393651,2.5247361,44.6667
96945,46.076378,2.5515174,47
96946,42.708282,2.5045074,45.8333
96947,48.235543,2.507564,53.2778
96948,45.031483,2.5295258,45.8333
