pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Kas-1	Belm-12	Chr1	1	50000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1	50000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1	50000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1	50000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1	50000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1	50000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	50001	100000	0.0	2	0	8	0
Belm-12	Roda-47	Chr1	50001	100000	0.0	2	0	8	0
Tsu-1	Belm-12	Chr1	50001	100000	0.0	2	0	8	0
Kas-1	Roda-47	Chr1	50001	100000	0.0	2	0	8	0
Kas-1	Tsu-1	Chr1	50001	100000	0.0	2	0	8	0
Kas-1	Belm-12	Chr1	50001	100000	0.0	2	0	8	0
Tsu-1	Belm-12	Chr1	100001	150000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	100001	150000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	100001	150000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	100001	150000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	100001	150000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	100001	150000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	150001	200000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	150001	200000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	150001	200000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	150001	200000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	150001	200000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	150001	200000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	200001	250000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	200001	250000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	200001	250000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	200001	250000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	200001	250000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	200001	250000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	250001	300000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	250001	300000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	250001	300000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	250001	300000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	250001	300000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	250001	300000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	300001	350000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	300001	350000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	300001	350000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	300001	350000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	300001	350000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	300001	350000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	350001	400000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	350001	400000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	350001	400000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	350001	400000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	350001	400000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	350001	400000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	400001	450000	0.0	21	0	84	0
Tsu-1	Belm-12	Chr1	400001	450000	0.0	21	0	84	0
Kas-1	Roda-47	Chr1	400001	450000	0.0	21	0	84	0
Belm-12	Roda-47	Chr1	400001	450000	0.0	21	0	84	0
Tsu-1	Roda-47	Chr1	400001	450000	0.0	21	0	84	0
