model_names,parameter,effect,pval,aic_column
5@7.7 + 5@13.6 + 5@7.7:5@13.6,5@7.7,0.338,3.12E-09,94.41
NA,5@13.6,0.132,0.021521776,NA
NA,Interaction,-0.110,0.164807379,NA
5@7.7 + 5@13.6,5@7.7,0.283,3.52E-12,94.36
NA,5@13.6,0.075,0.061077394,NA
5@7.7,5@7.7,0.341,3.52E-12,97.42
