id,X1_371484,X1_658928,X1_950790,X1_1247666,X1_1545309,X1_1831853,X1_2112359,X1_2402241,X1_2689578,X1_2978310,X1_3270056,X1_4139064,X1_4434414,X1_4716592,X1_5008647,X1_5305697,X1_5588245,X1_5876257,X1_6486531,X1_6750734,X1_7043318,X1_7332032,X1_7621705,X1_7906548,X1_8199225,X1_8511642,X1_8846085,X1_9081675,X1_9389545,X1_9645860,X1_9948571,X1_10232305,X1_10517662,X1_10817536,X1_11101365,X1_11402119,X1_11697338,X1_11966262,X1_12344267,X1_12843656,X1_13156629,X1_13451072,X1_13753592,X1_14332278,X1_15889605,X1_16136207,X1_16445556,X1_16923537,X1_17203021,X1_17775164,X1_18059668,X1_18352147,X1_18659070,X1_18926903,X1_19240146,X1_19529287,X1_19800653,X1_20108938,X1_20380110,X1_20668556,X1_20964571,X1_21251788,X1_21551115,X1_22152521,X1_22412767,X1_22723886,X1_22988965,X1_23292064,X1_23580047,X1_23857523,X1_24155803,X1_24435268,X1_24765127,X1_25032697,X1_25324254,X1_25609182,X1_25889912,X1_26181454,X1_26760155,X1_27057077,X1_27352821,X1_27626189,X1_27917735,X1_28220678,X1_28509198,X1_28806377,X1_29077284,X1_29384089,X1_29659444,X1_30245282,X2_365473,X2_661681,X2_954162,X2_1258538,X2_1532339,X2_1871886,X2_2135186,X2_2433194,X2_4621443,X2_5049931,X2_5295348,X2_5587569,X2_5956920,X2_6764214,X2_7047117,X2_7340228,X2_7626054,X2_7920385,X2_8197294,X2_8502011,X2_8779839,X2_9065286,X2_9367070,X2_9647248,X2_9940989,X2_10225771,X2_10536215,X2_10837886,X2_11106932,X2_11389340,X2_11679435,X2_11966391,X2_12267422,X2_12547427,X2_12838094,X2_13135793,X2_13420085,X2_13716369,X2_13995766,X2_14319012,X2_14575482,X2_14868193,X2_15168170,X2_15447154,X2_15747054,X2_16066940,X2_16319037,X2_16607410,X2_16898396,X2_17185170,X2_17476046,X2_17779000,X2_18063832,X2_18358707,X2_18639532,X2_18932927,X2_19233555,X2_19529865,X3_370926,X3_656579,X3_961179,X3_1270326,X3_1525377,X3_1825965,X3_2112696,X3_2398036,X3_2692472,X3_2975352,X3_3269092,X3_3565378,X3_4141096,X3_4427835,X3_4718296,X3_5295658,X3_5619526,X3_5875889,X3_6175656,X3_6457498,X3_6749190,X3_7051377,X3_7329844,X3_7628106,X3_7914025,X3_8200995,X3_8497891,X3_8776721,X3_9139270,X3_9654017,X3_9940341,X3_10234401,X3_10587664,X3_11114247,X3_11399488,X3_11747164,X3_12041893,X3_14322230,X3_15210147,X3_15514979,X3_15759118,X3_16058567,X3_16362290,X3_16648133,X3_16899341,X3_17225206,X3_17486181,X3_17781386,X3_18077874,X3_18350962,X3_18651512,X3_18955604,X3_19220884,X3_19514107,X3_19799867,X3_20092191,X3_20401811,X3_20665136,X3_20960795,X3_21258480,X3_21558962,X3_21840004,X3_22144650,X3_22441322,X3_22704870,X3_22986945,X3_23275556,X4_384888,X4_680041,X4_982791,X4_1238231,X4_1535171,X4_2717267,X4_2396469,X4_2133635,X4_1828832,X4_3900172,X4_5080132,X4_5587712,X4_5924099,X4_6171429,X4_6498644,X4_6754691,X4_7042854,X4_7346579,X4_7616384,X4_7918274,X4_8211444,X4_8498174,X4_8815569,X4_9140013,X4_9650672,X4_9942702,X4_10236673,X4_10522219,X4_10831675,X4_11157390,X4_11714851,X4_12292822,X4_12547100,X4_12843072,X4_13151997,X4_13421012,X4_13720933,X4_14008832,X4_14292115,X4_14584632,X4_14869919,X4_15162178,X4_15450267,X4_15735751,X4_16026122,X4_16337059,X4_16606958,X4_16902140,X4_17202249,X4_17486207,X4_17796648,X4_18063371,X4_18347312,X5_367158,X5_655985,X5_949897,X5_1245151,X5_1528949,X5_1839919,X5_2111365,X5_2408921,X5_2685965,X5_2985496,X5_3270887,X5_3570430,X5_3852246,X5_4136470,X5_4426649,X5_4726262,X5_5013068,X5_5336868,X5_5656316,X5_5889105,X5_6473301,X5_6752582,X5_7071294,X5_7334179,X5_7618492,X5_7914975,X5_8232952,X5_8569949,X5_9080100,X5_9376062,X5_9669100,X5_9969215,X5_10233797,X5_10639041,X5_10929784,X5_12552624,X5_13106228,X5_13707451,X5_14015641,X5_14545953,X5_14876427,X5_15185072,X5_15464485,X5_15768401,X5_16043932,X5_16326685,X5_17196046,X5_17503065,X5_17787766,X5_18072654,X5_18382907,X5_18640297,X5_18926019,X5_19227434,X5_19550188,X5_19797944,X5_20095240,X5_20390151,X5_20671010,X5_20961565,X5_21249178,X5_21548963,X5_21864028,X5_22116026,X5_22406706,X5_22711593,X5_23006666,X5_23277096,X5_23580206,X5_23870630,X5_24172305,X5_24444383,X5_24725353,X5_25017566,X5_25350635,X5_25599724,X5_25889576,X5_26180944,X5_26468215,X5_26757861
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,0,1.422,2.075,3.013,3.384,3.943,4.408,5.25,5.343,6.112,6.206,8.36,8.842,9.507,9.916,10.312,11.03,11.501,11.97,12.636,13.483,14.053,14.525,16.069,18.117,18.877,19.638,20.792,21.941,22.704,23.652,24.623,25.681,26.545,28.103,29.502,30.882,32.413,33.796,35.512,37.885,38.268,38.363,38.459,38.554,39.911,40.59,42.502,43.493,46.721,47.977,48.931,49.788,50.352,51.496,52.543,53.291,54.325,54.603,55.197,55.601,55.904,56.275,57.347,58.632,58.823,60.236,60.984,61.076,61.824,62.477,63.146,64.88,66.846,67.637,68.419,70.447,71.997,74.435,75.399,76.971,77.163,77.86,78.551,79.56,80.38,80.886,82.142,83.088,83.845,0,4.606,6.33,8.55,10.17,11.4,12.822,14.736,15.107,15.2,15.48,15.761,17.687,22.613,24.312,25.601,26.841,27.893,29.449,30.714,31.706,31.992,32.589,34.308,35.592,37.365,38.247,39.837,40.254,41.761,42.345,43.114,44.28,46.948,48.042,48.734,49.409,49.516,49.704,50.366,50.646,51.02,52.453,53.036,53.415,54.399,54.885,55.269,56.022,56.402,56.779,56.874,58.025,58.313,58.594,59.444,60.487,60.86,0,0.094,1.032,1.688,2.155,2.533,2.82,3.487,3.96,4.523,5.092,6.349,7.208,7.313,8.176,9.637,10.681,11.184,11.853,12.641,13.533,14.728,15.618,16.51,18.033,19.705,22.343,23.319,25.381,28.021,29.512,31.527,32.697,37.858,39.55,40.641,41.121,41.309,41.402,42.553,43.813,44.974,45.949,49.119,50.183,51.952,53.323,54.095,54.672,55.367,57.064,58.618,59.188,60.383,61.53,63.124,63.604,64.18,64.928,65.487,65.858,66.606,66.791,67.54,68.386,69.618,70.466,0,2.329,6.129,7.648,8.975,9.255,12.891,14.399,15.265,15.674,15.767,18.335,19.776,20.73,24.028,25.332,26.733,27.984,29.948,31.047,32.149,33.418,34.491,35.766,37.38,39.077,41.05,42.292,43.507,44.312,46.649,48.883,50.004,50.195,50.574,51.142,51.331,51.993,52.369,52.847,53.543,53.935,54.131,54.523,55.222,55.523,55.916,56.299,56.593,57.696,59.526,60.435,60.721,0,1.428,2.63,3.939,4.594,4.913,5.695,6.678,7.459,7.652,8.525,9.384,10.048,10.434,10.717,10.811,11.39,11.972,13.126,13.602,14.471,14.668,14.963,15.919,16.811,18.508,20.419,21.967,27.139,28.533,29.833,32.507,34.144,36.082,36.645,36.738,37.016,38.26,40.107,41.4,43.043,44.949,46.891,48.063,49.947,50.244,50.45,50.962,51.576,52.441,53.407,54.267,54.836,56.611,57.476,57.664,58.578,59.597,60.101,60.596,61.278,62.603,64.099,64.62,66.055,66.456,67.732,68.693,69.359,70.123,70.596,70.983,71.373,72.063,72.931,73.61,74.474,75.802,77.422,78.174
2,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,-,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
3,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,-,-,-,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,-,-,-,-,-,-,-,-,-,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
6,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
7,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
8,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
9,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
10,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,-,-,-,-,-,-,-,-,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
11,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,-,-,-,-,-,-,-,-,-,-,-,-,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,a,a,a,a,a,a,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b
