"id","chromosome","position","lowCIpos","hiCIpos","LOD","effect.estimate","perc.var","perc_div"
"1@10.3","1",10.31,"10","11",17.93,3.47,4.85,35.77
"1@11.0","1",11.03,"10.312015","11.501017",16.32,-3,4.38,-30.87
"1@58.8","1",58.82,"26","62",4.5,0.44,1.15,4.58
"1@79.6","1",79.56,"78.551083","80.886086",6.73,0.54,1.73,5.54
"4@56.6","4",56.59,"53.54304","59",8.69,0.47,2.26,4.81
"5@8.5","5",8.53,"8","9",46.54,1.46,14.37,15.01
"5@49.0","5",49,"47","50.962047",23.18,0.91,6.43,9.37
"5@70.0","5",70,"68","70.59607",43.8,1.51,13.35,15.56
"1@10.3:1@11.0",NA,NA,NA,NA,14.87,3.75,3.97,38.64
"4@56.6:5@49.0",NA,NA,NA,NA,4.12,-0.4,1.05,-4.08
"5@8.5:5@70.0",NA,NA,NA,NA,5.13,-0.43,1.31,-4.43
