pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Kas-1	Tsu-1	Chr1	1	50000	0.481981981981982	222	428	888	0
Kas-1	Belm-12	Chr1	1	50000	0.0878378378378378	222	78	888	0
Kas-1	Roda-47	Chr1	1	50000	0.4817351598173516	219	422	876	12
Tsu-1	Belm-12	Chr1	1	50000	0.4729729729729729	222	420	888	0
Tsu-1	Roda-47	Chr1	1	50000	0.5730593607305936	219	502	876	12
Belm-12	Roda-47	Chr1	1	50000	0.4840182648401826	219	424	876	12
Belm-12	Roda-47	Chr1	50001	100000	0.672	375	1008	1500	36
Tsu-1	Roda-47	Chr1	50001	100000	0.695054945054945	364	1012	1456	80
Kas-1	Roda-47	Chr1	50001	100000	0.5598404255319149	376	842	1504	32
Tsu-1	Belm-12	Chr1	50001	100000	0.4582210242587601	371	680	1484	52
Kas-1	Tsu-1	Chr1	50001	100000	0.3373655913978494	372	502	1488	48
Kas-1	Belm-12	Chr1	50001	100000	0.2206266318537859	383	338	1532	4
Tsu-1	Roda-47	Chr1	100001	150000	0.5018181818181818	275	552	1100	0
Belm-12	Roda-47	Chr1	100001	150000	0.6454545454545455	275	710	1100	0
Kas-1	Belm-12	Chr1	100001	150000	0.1236363636363636	275	136	1100	0
Kas-1	Tsu-1	Chr1	100001	150000	0.6309090909090909	275	694	1100	0
Tsu-1	Belm-12	Chr1	100001	150000	0.7072727272727273	275	778	1100	0
Kas-1	Roda-47	Chr1	100001	150000	0.6127272727272727	275	674	1100	0
Tsu-1	Belm-12	Chr1	150001	200000	0.2111111111111111	270	228	1080	0
Kas-1	Roda-47	Chr1	150001	200000	0.6703703703703704	270	724	1080	0
Belm-12	Roda-47	Chr1	150001	200000	0.7333333333333333	270	792	1080	0
Tsu-1	Roda-47	Chr1	150001	200000	0.7	270	756	1080	0
Kas-1	Tsu-1	Chr1	150001	200000	0.2814814814814815	270	304	1080	0
Kas-1	Belm-12	Chr1	150001	200000	0.3296296296296296	270	356	1080	0
Tsu-1	Roda-47	Chr1	200001	250000	0.552405498281787	582	1286	2328	0
Belm-12	Roda-47	Chr1	200001	250000	0.627147766323024	582	1460	2328	0
Kas-1	Roda-47	Chr1	200001	250000	0.5472508591065293	582	1274	2328	0
Tsu-1	Belm-12	Chr1	200001	250000	0.3960481099656357	582	922	2328	0
Kas-1	Tsu-1	Chr1	200001	250000	0.274914089347079	582	640	2328	0
Kas-1	Belm-12	Chr1	200001	250000	0.3651202749140893	582	850	2328	0
Kas-1	Roda-47	Chr1	250001	300000	0.2967914438502674	561	666	2244	0
Tsu-1	Belm-12	Chr1	250001	300000	0.6366906474820144	556	1416	2224	20
Belm-12	Roda-47	Chr1	250001	300000	0.6176470588235294	561	1386	2244	0
Tsu-1	Roda-47	Chr1	250001	300000	0.3471223021582734	556	772	2224	20
Kas-1	Belm-12	Chr1	250001	300000	0.6755793226381461	561	1516	2244	0
Kas-1	Tsu-1	Chr1	250001	300000	0.3821942446043165	556	850	2224	20
Kas-1	Roda-47	Chr1	300001	350000	0.6036866359447005	217	524	868	0
Tsu-1	Belm-12	Chr1	300001	350000	0.4423963133640553	217	384	868	0
Tsu-1	Roda-47	Chr1	300001	350000	0.6036866359447005	217	524	868	0
Belm-12	Roda-47	Chr1	300001	350000	0.5852534562211982	217	508	868	0
Kas-1	Tsu-1	Chr1	300001	350000	0.2119815668202765	217	184	868	0
Kas-1	Belm-12	Chr1	300001	350000	0.4976958525345622	217	432	868	0
Tsu-1	Belm-12	Chr1	350001	400000	0.5828804347826086	368	858	1472	60
Kas-1	Roda-47	Chr1	350001	400000	0.4699738903394256	383	720	1532	0
Kas-1	Tsu-1	Chr1	350001	400000	0.4516971279373368	383	692	1532	0
Kas-1	Belm-12	Chr1	350001	400000	0.6413043478260869	368	944	1472	60
Belm-12	Roda-47	Chr1	350001	400000	0.5625	368	828	1472	60
Tsu-1	Roda-47	Chr1	350001	400000	0.216710182767624	383	332	1532	0
Kas-1	Tsu-1	Chr1	400001	450000	0.5509776536312849	716	1578	2864	168
Kas-1	Belm-12	Chr1	400001	450000	0.4762247838616715	694	1322	2776	256
Belm-12	Roda-47	Chr1	400001	450000	0.467966573816156	718	1344	2872	160
Tsu-1	Roda-47	Chr1	400001	450000	0.4162162162162162	740	1232	2960	72
Tsu-1	Belm-12	Chr1	400001	450000	0.5542857142857143	700	1552	2800	232
Kas-1	Roda-47	Chr1	400001	450000	0.6886920980926431	734	2022	2936	96
Kas-1	Belm-12	Chr1	450001	500000	0.6634146341463415	615	1632	2460	8
Kas-1	Tsu-1	Chr1	450001	500000	0.5356564019448946	617	1322	2468	0
Tsu-1	Roda-47	Chr1	450001	500000	0.3978930307941653	617	982	2468	0
Belm-12	Roda-47	Chr1	450001	500000	0.3772357723577236	615	928	2460	8
Kas-1	Roda-47	Chr1	450001	500000	0.640194489465154	617	1580	2468	0
Tsu-1	Belm-12	Chr1	450001	500000	0.3715447154471544	615	914	2460	8
Kas-1	Roda-47	Chr1	500001	550000	0.4152798789712557	661	1098	2644	40
Tsu-1	Belm-12	Chr1	500001	550000	0.5358231707317073	656	1406	2624	60
Kas-1	Belm-12	Chr1	500001	550000	0.5753846153846154	650	1496	2600	84
Kas-1	Tsu-1	Chr1	500001	550000	0.3182503770739064	663	844	2652	32
Tsu-1	Roda-47	Chr1	500001	550000	0.3628185907046476	667	968	2668	16
Belm-12	Roda-47	Chr1	500001	550000	0.4288990825688073	654	1122	2616	68
Kas-1	Roda-47	Chr1	550001	600000	0.5158450704225352	568	1172	2272	288
Tsu-1	Belm-12	Chr1	550001	600000	0.45078125	640	1154	2560	0
Kas-1	Tsu-1	Chr1	550001	600000	0.5682926829268292	615	1398	2460	100
Kas-1	Belm-12	Chr1	550001	600000	0.4390243902439024	615	1080	2460	100
Tsu-1	Roda-47	Chr1	550001	600000	0.3608768971332209	593	856	2372	188
Belm-12	Roda-47	Chr1	550001	600000	0.3667790893760539	593	870	2372	188
Tsu-1	Belm-12	Chr1	600001	650000	0.2667785234899328	596	636	2384	12
Kas-1	Roda-47	Chr1	600001	650000	0.5203389830508475	590	1228	2360	36
Kas-1	Belm-12	Chr1	600001	650000	0.3238255033557047	596	772	2384	12
Kas-1	Tsu-1	Chr1	600001	650000	0.4352941176470588	595	1036	2380	16
Belm-12	Roda-47	Chr1	600001	650000	0.5211505922165821	591	1232	2364	32
Tsu-1	Roda-47	Chr1	600001	650000	0.5830508474576271	590	1376	2360	36
Belm-12	Roda-47	Chr1	650001	700000	0.4615384615384615	299	552	1196	0
Tsu-1	Roda-47	Chr1	650001	700000	0.4429530201342282	298	528	1192	4
Kas-1	Belm-12	Chr1	650001	700000	0.6521739130434783	299	780	1196	0
Kas-1	Tsu-1	Chr1	650001	700000	0.6375838926174496	298	760	1192	4
Kas-1	Roda-47	Chr1	650001	700000	0.5518394648829431	299	660	1196	0
Tsu-1	Belm-12	Chr1	650001	700000	0.0302013422818791	298	36	1192	4
Tsu-1	Belm-12	Chr1	700001	750000	0.2921875	320	374	1280	0
Kas-1	Roda-47	Chr1	700001	750000	0.4421875	320	566	1280	0
Belm-12	Roda-47	Chr1	700001	750000	0.5359375	320	686	1280	0
Tsu-1	Roda-47	Chr1	700001	750000	0.5359375	320	686	1280	0
Kas-1	Tsu-1	Chr1	700001	750000	0.5296875	320	678	1280	0
Kas-1	Belm-12	Chr1	700001	750000	0.45625	320	584	1280	0
Kas-1	Belm-12	Chr1	750001	800000	0.5215311004784688	418	872	1672	60
Kas-1	Tsu-1	Chr1	750001	800000	0.4523255813953488	430	778	1720	12
Tsu-1	Roda-47	Chr1	750001	800000	0.386046511627907	430	664	1720	12
Belm-12	Roda-47	Chr1	750001	800000	0.527511961722488	418	882	1672	60
Tsu-1	Belm-12	Chr1	750001	800000	0.517814726840855	421	872	1684	48
Kas-1	Roda-47	Chr1	750001	800000	0.414519906323185	427	708	1708	24
Kas-1	Belm-12	Chr1	800001	850000	0.4361111111111111	180	314	720	4
Kas-1	Tsu-1	Chr1	800001	850000	0.5333333333333333	180	384	720	4
Tsu-1	Belm-12	Chr1	800001	850000	0.4005524861878453	181	290	724	0
